Metric,Popularity,Collaborative
precision,0.2299,0.0724
recall,0.00916966553517972,0.0028261762394320112
f1,0.01750861804925953,0.005409290017596854
ndcg,0.22975863814299274,0.0920085740485908
coverage,0.0005416296553068874,0.018973286825400264
