Metric,Popularity,Collaborative
precision,0.16960000000000003,0.07
recall,0.0093049189138215,0.0036073942145565664
f1,0.01743701045076168,0.006792049035196109
ndcg,0.1666263377165192,0.08662737173867688
coverage,0.0005952841588932477,0.025317435277729824
